,FECHA,TC,IMPORTE,IVA,RET ISR,RET IVA,TOTAL MX,TOTAL SAT
172,2020-01-01,1.0,1855.0,296.8,0.0,0.0,2151.8,2151.8
173,2020-01-01,1.0,6160.0,985.6,0.0,0.0,7145.6,7145.6
174,2020-01-01,1.0,2550.0,408.0,0.0,0.0,2958.0,2958.0
175,2020-01-01,1.0,160.0,25.6,0.0,0.0,185.6,185.6
176,2020-01-01,1.0,684.0,109.44,0.0,0.0,793.44,793.44
177,2020-01-01,1.0,684.0,109.44,0.0,0.0,793.44,793.44
178,2020-01-01,1.0,1162.5,1219.15,0.0,0.0,1239.1,1333.0
179,2020-01-01,1.0,1162.5,222.2,0.0,0.0,1239.1,1333.0
180,2020-01-01,1.0,97.27,15.56,0.0,0.0,112.83,112.83
181,2020-01-01,1.0,27.74,4.44,0.0,0.0,32.18,32.18
182,2020-01-01,1.0,1960.12,313.62,0.0,0.0,2273.74,2273.74
183,2020-01-01,1.0,0.0,519.8,0.0,0.0,0.0,0.0
184,2020-01-01,1.0,0.0,519.8,0.0,0.0,0.0,0.0
185,2020-01-01,1.0,1947.0,311.52,0.0,0.0,2258.52,2258.52
186,2020-01-01,1.0,1162.5,222.2,0.0,0.0,1239.1,1333.0
187,2020-01-01,1.0,6286.5,1005.84,0.0,0.0,7292.34,7292.34
188,2020-01-01,1.0,1162.5,222.2,0.0,0.0,1239.1,1333.0
189,2020-01-01,1.0,1474.5,235.92,0.0,0.0,1710.42,1710.42
190,2020-01-01,1.0,1722.08,275.53,0.0,0.0,1997.61,1997.61
191,2020-01-01,1.0,5747.71,919.63,0.0,0.0,6667.34,6667.34
192,2020-01-01,1.0,1162.5,222.2,0.0,0.0,1239.1,1333.0
193,2020-01-01,1.0,4900.0,784.0,0.0,0.0,5684.0,5684.0
194,2020-01-01,1.0,2041.09,326.58,0.0,0.0,2335.63,2335.63
195,2020-01-01,1.0,75.85,12.14,0.0,0.0,87.99,87.99
196,2020-01-01,1.0,0.0,519.8,0.0,0.0,0.0,0.0
197,2020-01-01,1.0,0.0,519.8,0.0,0.0,0.0,0.0
198,2020-01-01,1.0,0.0,519.8,0.0,0.0,0.0,0.0
199,2020-01-01,1.0,0.0,519.8,0.0,0.0,0.0,0.0
200,2020-01-01,1.0,1162.5,222.2,0.0,0.0,1239.1,1333.0
201,2020-01-01,1.0,456.0,72.96,0.0,0.0,528.96,528.96
202,2020-01-01,1.0,0.0,0.0,0.0,0.0,0.0,2688.67
203,2020-01-01,1.0,0.0,519.8,0.0,0.0,0.0,0.0
204,2020-01-01,1.0,1162.5,222.2,0.0,0.0,1239.1,1333.0
205,2020-01-01,1.0,1162.5,222.2,0.0,0.0,1239.1,1333.0
206,2020-01-01,1.0,140.0,0.0,0.0,0.0,140.0,140.0
207,2020-01-01,1.0,843.0,519.8,0.0,0.0,843.0,843.0
208,2020-01-01,1.0,269.0,519.8,0.0,0.0,269.0,269.0
209,2020-01-01,1.0,46.7,7.47,0.0,0.0,54.17,54.17
210,2020-01-01,1.0,3416.04,546.57,0.0,0.0,3962.61,3962.61
211,2020-01-01,1.0,173.02,26.98,0.0,0.0,200.0,200.0
212,2020-01-01,1.0,161.0,25.76,0.0,0.0,186.76,186.76
213,2020-01-01,1.0,5157.0,825.12,0.0,0.0,5982.12,5982.12
214,2020-01-01,1.0,125.0,519.8,0.0,0.0,125.0,0.0
215,2020-01-01,1.0,2250.0,360.0,0.0,0.0,2610.0,2610.0
216,2020-01-01,1.0,0.0,519.8,0.0,0.0,0.0,0.0
217,2020-01-01,1.0,336.9,62.09,0.0,0.0,398.99,398.99
218,2020-01-01,1.0,125.0,519.8,0.0,0.0,125.0,0.0
219,2020-01-01,1.0,0.0,0.0,0.0,0.0,0.0,2583.75
220,2020-01-01,1.0,1331.1,212.98,0.0,0.0,1544.08,1597.32
221,2020-01-01,1.0,906.52,161.47,0.0,0.0,1067.99,1067.99
222,2020-01-01,1.0,1932.69,356.32,0.0,0.0,2289.01,2289.01
223,2020-01-01,1.0,375.0,60.0,0.0,0.0,435.0,435.0
224,2020-01-01,1.0,1162.5,222.2,0.0,0.0,1239.1,1333.0
225,2020-01-01,1.0,0.0,519.8,0.0,0.0,0.0,0.0
226,2020-01-01,1.0,0.0,519.8,0.0,0.0,0.0,0.0
227,2020-01-01,1.0,86.12,13.78,0.0,0.0,99.9,99.9
228,2020-01-01,1.0,0.0,519.8,0.0,0.0,0.0,0.0
229,2020-01-01,1.0,632.6,101.22,0.0,0.0,733.82,733.82
230,2020-01-01,1.0,2268.0,362.88,0.0,0.0,2630.88,2630.88
231,2020-01-01,1.0,0.0,0.0,0.0,0.0,0.0,115.0
232,2020-01-01,1.0,1020.0,163.2,0.0,0.0,1183.2,1183.2
233,2020-01-01,1.0,794.17,519.8,0.0,0.0,794.17,794.17
234,2020-01-01,1.0,1117.38,519.8,0.0,0.0,1117.38,1117.38
235,2020-01-01,1.0,2084.0,519.8,0.0,0.0,2084.0,2084.0
236,2020-01-01,1.0,0.0,519.8,0.0,0.0,0.0,0.0
237,2020-01-01,1.0,855.0,136.8,0.0,0.0,991.8,991.8
238,2020-01-01,1.0,459.18,73.46,0.0,0.0,532.64,532.64
239,2020-01-01,1.0,3100.0,496.0,0.0,0.0,3596.0,3596.0
240,2020-01-01,1.0,18.97,3.03,0.0,0.0,22.0,22.0
241,2020-01-01,1.0,18.97,3.03,0.0,0.0,22.0,22.0
242,2020-01-01,1.0,143.06,22.89,0.0,0.0,165.95,165.95
243,2020-01-01,1.0,263.22,42.12,0.0,0.0,305.34000000000003,305.34
244,2020-01-01,1.0,0.0,519.8,0.0,0.0,0.0,0.0
245,2020-01-01,1.0,3060.0,489.6,0.0,0.0,3549.6,3549.6
246,2020-01-01,1.0,0.0,0.0,0.0,0.0,0.0,857.3
247,2020-01-01,1.0,279.32,44.68,0.0,0.0,324.0,324.0
248,2020-01-01,1.0,0.0,519.8,0.0,0.0,0.0,0.0
249,2020-01-01,1.0,960.0,153.6,0.0,0.0,1113.6,1113.6
250,2020-01-01,1.0,45.43,7.27,0.0,0.0,52.7,52.7
251,2020-01-01,1.0,1300.0,208.0,0.0,0.0,1508.0,1508.0
252,2020-01-01,1.0,25.0,4.0,0.0,0.0,29.0,29.0
253,2020-01-01,1.0,86.51,13.49,0.0,0.0,100.0,100.0
254,2020-01-01,1.0,0.0,519.8,0.0,0.0,0.0,0.0
255,2020-01-01,1.0,426.0,68.16,0.0,0.0,494.15999999999997,494.16
256,2020-01-01,1.0,847.82,132.23,0.0,0.0,980.0500000000001,980.05
257,2020-01-01,1.0,83.2,13.31,0.0,0.0,96.51,96.51
258,2020-01-01,1.0,2039.2,326.27,0.0,0.0,2365.4700000000003,2365.47
259,2020-01-01,1.0,1294.0,207.04,0.0,0.0,1501.04,1501.04
260,2020-01-01,1.0,0.0,519.8,0.0,0.0,0.0,0.0
261,2020-01-01,1.0,1162.5,222.2,0.0,0.0,1239.1,1333.0
262,2020-01-01,1.0,105.0,0.0,0.0,0.0,105.0,105.0
263,2020-01-01,1.0,1745.1,279.22,0.0,0.0,2024.32,2024.32
264,2020-01-01,1.0,2326.8,372.29,0.0,0.0,2699.09,2699.09
265,2020-01-01,1.0,172.41,27.59,0.0,0.0,200.0,200.0
266,2020-01-01,1.0,3485.37,557.66,0.0,0.0,3981.45,3981.45
267,2020-01-01,1.0,3428.69,548.59,0.0,0.0,3950.8500000000004,3950.85
268,2020-01-01,1.0,167.24,26.76,0.0,0.0,194.0,194.0
269,2020-01-01,1.0,1792.62,286.82,0.0,0.0,2057.54,2057.54
270,2020-01-01,1.0,0.0,519.8,0.0,0.0,0.0,0.0
271,2020-01-01,1.0,0.0,519.8,0.0,0.0,0.0,0.0
272,2020-01-01,1.0,0.0,519.8,0.0,0.0,0.0,0.0
273,2020-01-01,1.0,0.0,519.8,0.0,0.0,0.0,0.0
274,2020-01-01,1.0,0.0,519.8,0.0,0.0,0.0,0.0
275,2020-01-01,1.0,108.51,17.36,0.0,0.0,125.87,125.87
276,2020-01-01,1.0,1600.0,256.0,0.0,0.0,1856.0,1856.0
277,2020-01-01,1.0,4129.65,22.34,0.0,0.0,4151.99,4151.99
278,2020-01-01,1.0,476.14,66.06,0.0,0.0,542.2,478.99
279,2020-01-01,1.0,0.0,519.8,0.0,0.0,0.0,0.0
280,2020-01-01,1.0,1676.25,268.2,0.0,0.0,1944.45,1944.45
281,2020-01-01,1.0,698.5,111.76,0.0,0.0,810.26,810.26
282,2020-01-01,1.0,0.0,519.8,0.0,0.0,0.0,0.0
283,2020-01-01,1.0,883.2,141.31,0.0,0.0,1024.51,1024.51
284,2020-01-01,1.0,243.4,38.94,0.0,0.0,282.34000000000003,282.34
285,2020-01-01,1.0,1010.0,129.28,0.0,0.0,1139.28,937.28
286,2020-01-01,1.0,440.88,70.54,0.0,0.0,511.42,511.42
287,2020-01-01,1.0,1100.0,176.0,0.0,0.0,1276.0,1276.0
288,2020-01-01,1.0,5970.12,955.22,0.0,0.0,6925.34,6925.34
289,2020-01-01,1.0,0.0,0.0,0.0,0.0,0.0,1953.95
290,2020-01-01,1.0,1162.5,222.2,0.0,0.0,1239.1,1333.0
291,2020-01-01,1.0,862.07,137.93,0.0,0.0,1000.0,1000.0
292,2020-01-01,1.0,0.0,519.8,0.0,0.0,0.0,0.0
293,2020-01-01,1.0,105.0,16.8,0.0,0.0,121.8,121.8
294,2020-01-01,1.0,0.0,519.8,0.0,0.0,0.0,0.0
295,2020-01-01,1.0,5000.0,800.0,0.0,0.0,5800.0,5800.0
296,2020-01-01,1.0,2095.13,335.22,0.0,0.0,2402.07,2402.07
297,2020-01-01,1.0,153.68,24.59,0.0,0.0,178.27,178.27
298,2020-01-01,1.0,1162.5,1059.99,0.0,0.0,1239.1,7684.94
299,2020-01-01,1.0,1162.5,222.2,0.0,0.0,1239.1,1333.0
300,2020-01-01,1.0,28.4,4.54,0.0,0.0,32.94,32.94
301,2020-01-01,1.0,0.0,519.8,0.0,0.0,0.0,0.0
302,2020-01-01,1.0,0.0,519.8,0.0,0.0,0.0,0.0
303,2020-01-01,1.0,1070.0,171.2,0.0,0.0,1241.2,1241.2
304,2020-01-01,1.0,1162.5,48.0,0.0,0.0,1239.1,1333.0
305,2020-01-01,1.0,0.0,0.0,0.0,0.0,0.0,1333.0
306,2020-01-01,1.0,0.0,519.8,0.0,0.0,0.0,0.0
307,2020-01-01,1.0,0.0,519.8,0.0,0.0,0.0,0.0
308,2020-01-01,1.0,519.11,80.89,0.0,0.0,600.0,600.0
309,2020-01-01,1.0,0.0,519.8,0.0,0.0,0.0,0.0
310,2020-01-01,1.0,37.87,6.06,0.0,0.0,43.93,43.93
311,2020-01-01,1.0,2457.0,393.12,0.0,0.0,2850.12,2850.12
312,2020-01-01,1.0,865.21,134.96,0.0,0.0,1000.1700000000001,1000.17
313,2020-01-01,1.0,207.0,33.12,0.0,0.0,240.12,240.12
314,2020-01-01,1.0,112.5,18.0,0.0,0.0,130.5,130.5
315,2020-01-01,1.0,0.0,519.8,0.0,0.0,0.0,0.0
316,2020-01-01,1.0,0.0,519.8,0.0,0.0,0.0,0.0
317,2020-01-01,1.0,0.01,519.8,0.0,0.0,0.01,0.0
318,2020-01-01,1.0,105.0,0.0,0.0,0.0,105.0,105.0
319,2020-01-01,1.0,1162.5,519.8,0.0,0.0,1239.1,1333.0
320,2020-02-01,1.0,490.0,78.4,0.0,0.0,568.4,568.4
321,2020-02-01,1.0,195.0,31.2,0.0,0.0,226.2,226.2
322,2020-02-01,1.0,1011.41,157.74,0.0,0.0,1169.15,1169.15
323,2020-02-01,1.0,1162.5,222.2,0.0,0.0,1239.1,1333.0
324,2020-02-01,1.0,-1343.72,-214.99,0.0,0.0,-1558.71,-1558.71
325,2020-02-01,1.0,-214.99,-34.4,0.0,0.0,-249.39000000000001,-249.39
326,2020-02-01,1.0,5344.76,855.16,0.0,0.0,6199.92,6199.92
327,2020-02-01,1.0,5152.17,824.35,0.0,0.0,5976.52,5976.52
328,2020-02-01,1.0,3670.47,587.28,0.0,0.0,4257.75,4257.75
329,2020-02-01,1.0,2932.5,469.2,0.0,0.0,3401.7,3401.7
330,2020-02-01,1.0,131.89,21.1,0.0,0.0,152.98999999999998,152.99
331,2020-02-01,1.0,4226.15,676.18,0.0,0.0,4902.33,4902.33
332,2020-02-01,1.0,0.0,519.8,0.0,0.0,0.0,0.0
333,2020-02-01,1.0,0.0,519.8,0.0,0.0,0.0,0.0
334,2020-02-01,1.0,0.0,519.8,0.0,0.0,0.0,0.0
335,2020-02-01,1.0,0.0,519.8,0.0,0.0,0.0,0.0
336,2020-02-01,1.0,0.0,519.8,0.0,0.0,0.0,0.0
337,2020-02-01,1.0,0.0,519.8,0.0,0.0,0.0,0.0
338,2020-02-01,1.0,3401.94,544.31,0.0,0.0,3946.25,3946.25
339,2020-02-01,1.0,744.89,116.07,0.0,0.0,860.96,860.96
340,2020-02-01,1.0,2569.85,411.18,0.0,0.0,2981.0299999999997,2981.03
341,2020-02-01,1.0,682.81,109.25,0.0,0.0,792.06,792.06
342,2020-02-01,1.0,4200.0,672.0,0.0,0.0,4872.0,4872.0
343,2020-02-01,1.0,2060.15,329.62,0.0,0.0,2389.77,2389.77
344,2020-02-01,1.0,6985.0,1117.6,0.0,0.0,1239.1,8102.6
345,2020-02-01,1.0,585.0,93.6,0.0,0.0,678.6,678.6
346,2020-02-01,1.0,1250.0,200.0,0.0,0.0,1450.0,1450.0
347,2020-02-01,1.0,410.0,65.6,0.0,0.0,475.6,475.6
348,2020-02-01,1.0,0.0,519.8,0.0,0.0,0.0,0.0
349,2020-02-01,1.0,6459.0,1033.44,0.0,0.0,7492.4400000000005,7492.44
350,2020-02-01,1.0,1904.0,304.64,0.0,0.0,2208.64,2208.64
351,2020-02-01,1.0,1162.5,222.2,0.0,0.0,1239.1,1333.0
