,TC,IMPORTE,IVA,RET ISR,RET IVA,TOTAL MX,TOTAL SAT
306,1.0,8328.75,1332.6,0.0,499.73,9161.62,9161.62
307,1.0,16171.46,2587.43,0.0,970.29,17788.6,17788.6
308,1.0,7300.0,1168.0,0.0,0.0,8468.0,8468.0
309,1.0,5000.0,800.0,500.0,533.34,4766.66,4766.66
310,1.0,0.0,0.0,0.0,0.0,0.0,0.0
311,1.0,850.0,136.0,0.0,0.0,986.0,986.0
312,1.0,2692.02,430.73,0.0,0.0,3122.75,3122.75
313,1.0,204.4,32.7,0.0,0.0,237.10000000000002,237.1
314,1.0,1584.0,253.44,0.0,0.0,1837.44,1837.44
315,1.0,21009.71,3361.55,0.0,1260.58,23110.68,23110.68
316,1.0,3000.0,480.0,0.0,0.0,3480.0,3480.0
317,1.0,6600.0,1056.0,0.0,0.0,7656.0,7656.0
318,1.0,35058.84,5609.42,0.0,0.0,40668.259999999995,40668.26
319,1.0,426.72,68.28,0.0,0.0,495.0,495.0
320,1.0,0.0,0.0,0.0,0.0,0.0,0.0
321,1.0,334.01,53.45,0.0,0.0,387.46,387.46
322,1.0,177.41,28.39,0.0,0.0,205.8,205.8
323,1.0,232.05,37.13,0.0,9.28,259.90000000000003,259.9
324,1.0,0.0,0.0,0.0,0.0,0.0,844.0
325,1.0,74.0,0.0,0.0,0.0,74.0,74.0
326,1.0,0.0,0.0,0.0,0.0,0.0,0.0
327,1.0,473.28000000000003,75.73,0.0,0.0,549.01,549.01
328,1.0,2475.92,396.15,0.0,0.0,2872.07,2872.07
329,1.0,4450.0,712.0,0.0,0.0,5162.0,5162.0
330,1.0,338.0,54.08,0.0,0.0,392.08,392.08
331,1.0,607.6,97.22,0.0,0.0,704.82,704.82
332,1.0,153.45,24.55,0.0,0.0,178.0,178.0
333,1.0,1982.76,317.24,0.0,0.0,2300.0,2300.0
334,1.0,6660.0,1065.6,666.0,710.4,6349.200000000001,6349.2
335,1.0,1100.0,176.0,0.0,0.0,1276.0,1276.0
336,1.0,0.0,0.0,0.0,0.0,0.0,0.0
337,1.0,0.0,0.0,0.0,0.0,0.0,0.0
338,1.0,7380.0,1180.8,0.0,0.0,8560.8,8560.8
339,1.0,307.45,49.19,0.0,0.0,356.64,356.64
340,1.0,0.0,0.0,0.0,0.0,0.0,0.0
341,1.0,0.0,0.0,0.0,0.0,0.0,0.0
342,1.0,1897.88,303.67,0.0,0.0,2201.55,2201.55
343,1.0,2587.2,413.95,0.0,0.0,3001.1499999999996,3001.15
344,1.0,1300.0,208.0,0.0,0.0,1508.0,1508.0
345,1.0,1207.46,193.19,0.0,0.0,1400.65,1400.65
346,1.0,6618.47,1058.94,0.0,0.0,7677.41,7677.41
347,1.0,8031.24,1285.0,0.0,0.0,9316.24,9316.24
348,1.0,0.0,0.0,0.0,0.0,0.0,2064.45
349,1.0,3900.0,624.0,0.0,0.0,4524.0,4524.0
350,1.0,0.0,0.0,0.0,0.0,0.0,0.0
351,1.0,30.48,4.88,0.0,0.0,35.36,35.36
352,1.0,310.0,49.6,0.0,0.0,359.6,359.6
353,1.0,1060.0,169.6,0.0,0.0,1229.6,1229.6
354,1.0,18.97,3.03,0.0,0.0,22.0,22.0
355,1.0,3901.92,624.31,0.0,0.0,4526.23,4526.23
356,1.0,3157.16,505.15,0.0,0.0,3662.31,3662.31
357,1.0,0.0,0.0,0.0,0.0,0.0,0.0
358,1.0,0.0,0.0,0.0,0.0,0.0,0.0
359,1.0,6795.66,1087.31,0.0,0.0,7882.969999999999,7882.97
360,1.0,0.0,0.0,0.0,0.0,0.0,0.0
361,1.0,0.0,0.0,0.0,0.0,0.0,0.0
